Unnamed: 0,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier,match_id,home_rank_date_used,home_rank,home_previous_rank,home_rank_change,home_total_points,home_previous_points,away_rank_date_used,away_rank,away_previous_rank,away_rank_change,away_total_points,away_previous_points,rank_advantage,points_diff,home_elo,away_elo,elo_advantage,result,home_form_sma3,home_form_sma5,home_form_sma7,home_form_ema50,home_form_ema33,home_form_ema25,away_form_sma3,away_form_sma5,away_form_sma7,away_form_ema50,away_form_ema33,away_form_ema25,form_diff_sma3,form_diff_sma5,form_diff_sma7,form_diff_ema50,form_diff_ema33,form_diff_ema25,home_strength_adjusted_margin_ema33,away_strength_adjusted_margin_ema33,strength_adjusted_margin_diff_ema33
34,2022-03-18,Papua New Guinea,New Zealand,0.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,35,2022-02-10,165.0,165.0,0.0,990.55,990.55,2022-02-10,111.0,110.0,-1.0,1161.66,1165.81,-54.0,-171.11000000000013,1098.0,1528.0,-430.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
35,2022-03-18,New Caledonia,Fiji,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,36,2022-02-10,153.0,153.0,0.0,1035.12,1035.12,2022-02-10,162.0,161.0,-1.0,996.27,996.27,9.0,38.84999999999991,1219.0,1236.0,-17.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
37,2022-03-21,New Zealand,Fiji,4.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,38,2022-02-10,111.0,110.0,-1.0,1161.66,1165.81,2022-02-10,162.0,161.0,-1.0,996.27,996.27,51.0,165.3900000000001,1528.0,1236.0,292.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000007,1.18,-1.26
36,2022-03-21,Papua New Guinea,New Caledonia,1.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,37,2022-02-10,165.0,165.0,0.0,990.55,990.55,2022-02-10,153.0,153.0,0.0,1035.12,1035.12,-12.0,-44.569999999999936,1098.0,1219.0,-121.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,-1.18,1.26
51,2022-03-24,Iraq,United Arab Emirates,1.0,0.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,1,2022,0,1,52,2022-02-10,74.0,75.0,1.0,1325.44,1333.03,2022-02-10,69.0,69.0,0.0,1353.1,1350.39,-5.0,-27.65999999999985,1551.0,1474.0,77.0,1,-0.5,-0.5,-0.5,-0.5,-0.6666666666666667,-0.75,0.0,0.0,0.0,0.0,0.3333333333333335,0.5,-0.5,-0.5,-0.5,-0.5,-1.0000000000000002,-1.25,0.051764705882353004,1.5599999999999998,-1.508235294117647
52,2022-03-24,Lebanon,Syria,0.0,3.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1,53,2022-02-10,95.0,95.0,0.0,1228.97,1233.0,2022-02-10,91.0,86.0,-5.0,1251.22,1268.54,-4.0,-22.25,1407.0,1481.0,-74.0,-1,-0.5,-0.5,-0.5,-0.5,-0.6666666666666667,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.3333333333333332,0.25,0.24941176470588233,-1.6176470588235292,1.8670588235294114
53,2022-03-24,Costa Rica,Canada,1.0,0.0,FIFA World Cup qualification,San José,Costa Rica,0,2022,0,1,54,2022-02-10,42.0,49.0,7.0,1464.06,1437.43,2022-02-10,33.0,40.0,7.0,1497.82,1462.32,-9.0,-33.75999999999999,1743.0,1784.0,-41.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7777777777777778,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.25,-0.2222222222222222,-0.1875,0.7259515570934255,1.3590311418685121,-0.6330795847750866
54,2022-03-24,Panama,Honduras,1.0,1.0,FIFA World Cup qualification,Panama City,Panama,0,2022,0,1,55,2022-02-10,63.0,63.0,0.0,1375.56,1379.34,2022-02-10,78.0,76.0,-2.0,1303.96,1332.16,15.0,71.59999999999991,1627.0,1604.0,23.0,0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.5,-0.5555555555555556,-0.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5,0.4444444444444444,0.375,-0.576955017301038,-1.3379238754325262,0.7609688581314882
50,2022-03-24,South Korea,Iran,2.0,0.0,FIFA World Cup qualification,Seoul,South Korea,0,2022,0,1,51,2022-02-10,29.0,33.0,4.0,1522.85,1507.24,2022-02-10,21.0,21.0,0.0,1572.89,1557.58,-8.0,-50.04000000000019,1788.0,1837.0,-49.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17058823529411762,-0.0729411764705883,-0.09764705882352932
56,2022-03-24,Jamaica,El Salvador,1.0,1.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1,57,2022-02-10,62.0,57.0,-5.0,1378.62,1412.13,2022-02-10,70.0,70.0,0.0,1346.04,1349.47,8.0,32.57999999999993,1578.0,1466.0,112.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.5,-0.5555555555555556,-0.625,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.5,-0.4444444444444444,-0.375,-0.2354325259515571,0.18117647058823522,-0.41660899653979233
57,2022-03-24,Australia,Japan,0.0,2.0,FIFA World Cup qualification,Sydney,Australia,0,2022,0,1,58,2022-02-10,37.0,35.0,-2.0,1486.86,1484.88,2022-02-10,23.0,26.0,3.0,1549.82,1531.53,-14.0,-62.96000000000004,1735.0,1760.0,-25.0,-1,0.5,0.5,0.5,0.5,0.6666666666666667,0.75,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.3333333333333332,-0.25,2.527058823529412,1.0670588235294118,1.4600000000000002
58,2022-03-24,Wales,Austria,2.0,1.0,FIFA World Cup qualification,Cardiff,Wales,0,2022,0,1,59,2022-02-10,20.0,19.0,-1.0,1578.01,1578.01,2022-02-10,30.0,31.0,1.0,1511.56,1511.56,10.0,66.45000000000005,1827.0,1730.0,97.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
55,2022-03-24,Mexico,United States,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1,56,2022-02-10,12.0,14.0,2.0,1647.9,1638.3,2022-02-10,13.0,11.0,-2.0,1643.34,1648.51,1.0,4.560000000000173,1839.0,1858.0,-19.0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7777777777777778,0.8125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5555555555555556,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.2222222222222222,0.1875,0.08643598615916956,-0.20228373702422142,0.288719723183391
49,2022-03-24,Sweden,Czech Republic,1.0,0.0,FIFA World Cup qualification,Stockholm,Sweden,0,2022,0,1,50,2022-02-10,17.0,18.0,1.0,1588.26,1588.26,2022-02-10,31.0,32.0,1.0,1510.42,1510.42,14.0,77.83999999999992,1820.0,1744.0,76.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
39,2022-03-24,Portugal,Turkey,3.0,1.0,FIFA World Cup qualification,Porto,Portugal,0,2022,0,1,40,2022-02-10,8.0,8.0,0.0,1660.25,1660.25,2022-02-10,39.0,37.0,-2.0,1472.72,1472.72,31.0,187.53,1972.0,1726.0,246.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
47,2022-03-24,Solomon Islands,Tahiti,3.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,48,2022-02-10,142.0,141.0,-1.0,1072.78,1072.78,2022-02-10,159.0,159.0,0.0,1014.27,1014.27,17.0,58.50999999999999,1196.0,1250.0,-54.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
46,2022-03-24,Fiji,Papua New Guinea,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,47,2022-02-10,162.0,161.0,-1.0,996.27,996.27,2022-02-10,165.0,165.0,0.0,990.55,990.55,3.0,5.720000000000027,1250.0,1173.0,77.0,-1,0.0,0.0,0.0,0.0,0.3333333333333335,0.5,0.0,0.0,0.0,0.0,-0.3333333333333335,-0.5,0.0,0.0,0.0,0.0,0.666666666666667,1.0,0.9352941176470588,0.14823529411764713,0.7870588235294117
45,2022-03-24,New Zealand,New Caledonia,7.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,46,2022-02-10,111.0,110.0,-1.0,1161.66,1165.81,2022-02-10,153.0,153.0,0.0,1035.12,1035.12,42.0,126.5400000000002,1528.0,1220.0,308.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.09999999999999994,-1.183529411764706,1.2835294117647058
44,2022-03-24,Colombia,Bolivia,3.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2022,0,1,45,2022-02-10,19.0,16.0,-3.0,1585.89,1607.15,2022-02-10,76.0,77.0,1.0,1308.12,1324.21,57.0,277.7700000000002,1904.0,1582.0,322.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-2.4811764705882355,1.3811764705882354
43,2022-03-24,Brazil,Chile,4.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,0,2022,0,1,44,2022-02-10,2.0,2.0,0.0,1823.42,1826.35,2022-02-10,26.0,24.0,-2.0,1543.16,1543.42,24.0,280.26,2149.0,1813.0,336.0,1,0.5,0.5,0.5,0.5,0.3333333333333332,0.25,0.0,0.0,0.0,0.0,-0.3333333333333335,-0.5,0.5,0.5,0.5,0.5,0.6666666666666667,0.75,-0.6411764705882352,-0.5870588235294117,-0.05411764705882349
