,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier
134,2022-11-29,Wales,England,0.0,3.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
135,2022-11-29,Iran,United States,0.0,1.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
136,2022-11-30,Poland,Argentina,0.0,2.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
137,2022-11-30,Saudi Arabia,Mexico,1.0,2.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
138,2022-11-30,Australia,Denmark,1.0,0.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
139,2022-11-30,Tunisia,France,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
140,2022-12-01,Japan,Spain,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
141,2022-12-01,Costa Rica,Germany,2.0,4.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
142,2022-12-01,Croatia,Belgium,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
143,2022-12-01,Canada,Morocco,1.0,2.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
144,2022-12-02,South Korea,Portugal,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
145,2022-12-02,Ghana,Uruguay,0.0,2.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
146,2022-12-02,Serbia,Switzerland,2.0,3.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
147,2022-12-02,Cameroon,Brazil,1.0,0.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
148,2022-12-03,Netherlands,United States,3.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
149,2022-12-03,Argentina,Australia,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
150,2022-12-04,France,Poland,3.0,1.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
151,2022-12-04,England,Senegal,3.0,0.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
152,2022-12-05,Japan,Croatia,1.0,1.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
153,2022-12-05,Brazil,South Korea,4.0,1.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
154,2022-12-06,Morocco,Spain,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
155,2022-12-06,Portugal,Switzerland,6.0,1.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
156,2022-12-09,Croatia,Brazil,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
157,2022-12-09,Netherlands,Argentina,2.0,2.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
158,2022-12-10,Morocco,Portugal,1.0,0.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
159,2022-12-10,England,France,1.0,2.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
160,2022-12-13,Argentina,Croatia,3.0,0.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
161,2022-12-14,France,Morocco,2.0,0.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
162,2022-12-17,Croatia,Morocco,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
163,2022-12-18,Argentina,France,3.0,3.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
164,2023-09-07,Colombia,Venezuela,1.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2023,0,1
165,2023-09-07,Paraguay,Peru,0.0,0.0,FIFA World Cup qualification,Ciudad del Este,Paraguay,0,2023,0,1
166,2023-09-07,Argentina,Ecuador,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,0,2023,0,1
167,2023-09-08,Uruguay,Chile,3.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,0,2023,0,1
168,2023-09-08,Brazil,Bolivia,5.0,1.0,FIFA World Cup qualification,Belém,Brazil,0,2023,0,1
169,2023-09-12,Chile,Colombia,0.0,0.0,FIFA World Cup qualification,Santiago,Chile,0,2023,0,1
170,2023-09-12,Venezuela,Paraguay,1.0,0.0,FIFA World Cup qualification,Maturín,Venezuela,0,2023,0,1
171,2023-09-12,Peru,Brazil,0.0,1.0,FIFA World Cup qualification,Lima,Peru,0,2023,0,1
172,2023-09-12,Bolivia,Argentina,0.0,3.0,FIFA World Cup qualification,La Paz,Bolivia,0,2023,0,1
173,2023-09-12,Ecuador,Uruguay,2.0,1.0,FIFA World Cup qualification,Quito,Ecuador,0,2023,0,1
174,2023-10-12,Indonesia,Brunei,6.0,0.0,FIFA World Cup qualification,Jakarta,Indonesia,0,2023,0,1
175,2023-10-12,Yemen,Sri Lanka,3.0,0.0,FIFA World Cup qualification,Abha,Saudi Arabia,1,2023,0,1
176,2023-10-12,Singapore,Guam,2.0,1.0,FIFA World Cup qualification,Kallang,Singapore,0,2023,0,1
177,2023-10-12,Nepal,Laos,1.0,1.0,FIFA World Cup qualification,Kathmandu,Nepal,0,2023,0,1
178,2023-10-12,Myanmar,Macau,5.0,1.0,FIFA World Cup qualification,Yangon,Myanmar,0,2023,0,1
179,2023-10-12,Maldives,Bangladesh,1.0,1.0,FIFA World Cup qualification,Malé,Maldives,0,2023,0,1
